SE folder,Model,Train sample size,Error distance (50%) mm,Error distance (90%) mm,Error distance (95%) mm,Error distance (99%) mm,Error distance (avg) mm,Error std mm,oks mAP,Dataset
sample_efficiency_plantwise_split_rice_10do_main,sample_efficiency_plantwise_split_rice_10do_main\n=0300.rep=2\models\230509_134120.multi_instance.n=367,300,2.1616080503557993,13.9611503154721,21.576110437574346,36.225605623688935,5.043151395268906,7.582974265259702,0.017733025526062613,"Rice (10 DAG, crown)"
sample_efficiency_plantwise_split_rice_10do_main,sample_efficiency_plantwise_split_rice_10do_main\n=0400.rep=0\models\230509_135731.multi_instance.n=467,400,2.154138863319877,12.328913411765354,18.536696541466405,34.837654850678184,4.575802086403591,7.121882447480501,0.015122495122265244,"Rice (10 DAG, crown)"
sample_efficiency_plantwise_split_rice_10do_main,sample_efficiency_plantwise_split_rice_10do_main\n=0400.rep=1\models\230509_141338.multi_instance.n=467,400,2.0670922671871197,12.57831985448226,20.70254511184372,35.61633326100725,4.769904545963079,7.104534120768579,0.017750743614243288,"Rice (10 DAG, crown)"
sample_efficiency_plantwise_split_rice_10do_main,sample_efficiency_plantwise_split_rice_10do_main\n=0400.rep=2\models\230509_143134.multi_instance.n=467,400,2.2274423482709818,13.304175416359378,20.62496073907013,35.754751162892276,4.973607766630866,7.345218214475203,0.015234904523685519,"Rice (10 DAG, crown)"
sample_efficiency_plantwise_split_rice_10do_main,sample_efficiency_plantwise_split_rice_10do_main\n=0500.rep=0\models\230509_145036.multi_instance.n=529,500,1.9269868026406818,12.818429038927906,20.40027863999411,32.99151480606968,4.608164395692978,6.958121095918138,0.01858437091422666,"Rice (10 DAG, crown)"
sample_efficiency_plantwise_split_rice_10do_main,sample_efficiency_plantwise_split_rice_10do_main\n=0500.rep=1\models\230509_150700.multi_instance.n=529,500,2.0691658374190824,13.261604664914927,20.561956083690045,35.02980023725923,4.820977652309788,7.286327740105225,0.017784969684323516,"Rice (10 DAG, crown)"
sample_efficiency_plantwise_split_rice_10do_main,sample_efficiency_plantwise_split_rice_10do_main\n=0500.rep=2\models\230509_152428.multi_instance.n=529,500,2.082171815320981,13.13437720671642,20.42413621987695,40.08418892824991,4.8552203117530945,7.735626039751727,0.01714741587244343,"Rice (10 DAG, crown)"
sample_efficiency_plantwise_split_rice_3do_long,sample_efficiency_plantwise_split_rice_3do_long\n=0005.rep=0\models\230328_102903.multi_instance.n=51,5,2.730629551998945,7.381741920246135,9.114944097712614,12.965756507674529,3.445220526521175,2.911734827163053,0.0,"Rice (3 DAG, primary)"
sample_efficiency_plantwise_split_rice_3do_long,sample_efficiency_plantwise_split_rice_3do_long\n=0005.rep=1\models\230328_104608.multi_instance.n=51,5,2.0334447311748303,6.945215593816008,8.122394071177276,11.912115935944087,2.966943135460884,2.643828628986342,0.01869196236393826,"Rice (3 DAG, primary)"
sample_efficiency_plantwise_split_rice_3do_long,sample_efficiency_plantwise_split_rice_3do_long\n=0005.rep=2\models\230328_105714.multi_instance.n=51,5,2.3797470303283905,5.494463975151326,7.270182289002741,9.725235369526205,2.8180396517163504,2.1838833568225873,0.0037023702370237023,"Rice (3 DAG, primary)"
sample_efficiency_plantwise_split_rice_3do_long,sample_efficiency_plantwise_split_rice_3do_long\n=0010.rep=0\models\230328_112612.multi_instance.n=56,10,1.6839107440428929,4.248085367572282,5.1141456723047325,6.780595198107254,2.092184281931996,1.5699280248124348,0.027770566227129628,"Rice (3 DAG, primary)"
sample_efficiency_plantwise_split_rice_3do_long,sample_efficiency_plantwise_split_rice_3do_long\n=0010.rep=1\models\230328_113612.multi_instance.n=56,10,1.1953307473649726,3.98002375098687,4.866142087942552,7.213044111073474,1.774173973139871,1.5610569555757554,0.01625217080988148,"Rice (3 DAG, primary)"
sample_efficiency_plantwise_split_rice_3do_long,sample_efficiency_plantwise_split_rice_3do_long\n=0010.rep=2\models\230328_120022.multi_instance.n=56,10,1.562825630442677,4.37384269998885,5.267172634584116,7.372852930330096,1.9794171061226151,1.6856136722282054,0.02011506606031941,"Rice (3 DAG, primary)"
sample_efficiency_plantwise_split_rice_3do_long,sample_efficiency_plantwise_split_rice_3do_long\n=0020.rep=0\models\230328_122018.multi_instance.n=66,20,1.104029491525332,2.828587191172646,3.424702915132532,4.874531492582852,1.4115775047624,1.4644927589628907,0.040214966732932435,"Rice (3 DAG, primary)"
sample_efficiency_plantwise_split_rice_3do_long,sample_efficiency_plantwise_split_rice_3do_long\n=0020.rep=1\models\230329_082946.multi_instance.n=66,20,1.2466479171740261,3.816973956901696,4.780852414275008,6.572238627441864,1.6732702625118647,1.4635191543534405,0.022725021766642175,"Rice (3 DAG, primary)"
sample_efficiency_plantwise_split_rice_3do_long,sample_efficiency_plantwise_split_rice_3do_long\n=0020.rep=2\models\230329_104821.multi_instance.n=66,20,1.4302061261019445,3.4580478476082277,3.86177399066209,5.160931955049874,1.6648197673951308,1.2536507149824436,0.034439729687254436,"Rice (3 DAG, primary)"
